,username_mittente,id_mittente,username_ricevente,id_ricevente,quarter,weights
0,motor_felipe,1236537956610887680,allanldsantos,52048790,3,1.0
1,pengologist,16548831,SeattlePD,25101704,3,0.45454545454545453
2,info4u2know,47725408,thehill,1917731,3,0.38961038961038963
3,info4u2know,47725408,realDonaldTrump,25073877,3,0.35714285714285715
4,mskaryn13,19201705,realDonaldTrump,25073877,3,0.24025974025974026
5,stephen_manion,979634640,realDonaldTrump,25073877,3,0.22077922077922077
6,spicoli_69,315436946,NFL,19426551,3,0.22077922077922077
7,antknowsmaui,1021034203134038017,realDonaldTrump,25073877,3,0.19480519480519481
8,navy30vet,1226646093087285249,nahmias,22447078,3,0.18181818181818182
9,philipsuttonwi1,1266598922971082752,realDonaldTrump,25073877,3,0.17532467532467533
10,navy30vet,1226646093087285249,jangelooff,263332399,3,0.14935064935064934
11,navy30vet,1226646093087285249,chayesmatthew,1411902361,3,0.14935064935064934
12,navy30vet,1226646093087285249,protest_nyc,1266803934166949889,3,0.14285714285714285
13,motor_felipe,1236537956610887680,realDonaldTrump,25073877,3,0.12987012987012986
14,schroederwrite,398241612,GOP,11134252,3,0.12987012987012986
15,redwood75746520,1266960008958246913,JoeBiden,939091,3,0.12987012987012986
16,navy30vet,1226646093087285249,macfathom,19469743,3,0.12987012987012986
17,mikeotheteacher,249735721,realDonaldTrump,25073877,3,0.12337662337662338
18,djblackzitoun,1166582221039386626,Wewillrocku66,763631487082266624,3,0.11038961038961038
19,seven_five_zero,1325945426600669184,realDonaldTrump,25073877,3,0.1038961038961039
20,beautifulone119,1293313434654781440,icecube,19671129,3,0.1038961038961039
21,djblackzitoun,1166582221039386626,RebeccaLMahan,14296615,3,0.09740259740259741
22,navy30vet,1226646093087285249,BilldeBlasio,476193064,3,0.09740259740259741
23,navy30vet,1226646093087285249,erinmdurkin,63001307,3,0.09090909090909091
24,info4u2know,47725408,politicususa,14792049,3,0.09090909090909091
25,schroederwrite,398241612,realDonaldTrump,25073877,3,0.09090909090909091
26,djblackzitoun,1166582221039386626,MohammedNahir,1365493799544188929,3,0.08441558441558442
27,djblackzitoun,1166582221039386626,MarkBird17,1126976456,3,0.08441558441558442
28,dagrimreaper18,1313585938543460352,realDonaldTrump,25073877,3,0.08441558441558442
29,soloyochapin,93071854,realDonaldTrump,25073877,3,0.08441558441558442
30,amitkam13136973,1246621594148986880,JoeBiden,939091,3,0.08441558441558442
31,djblackzitoun,1166582221039386626,visit_marrakech,4729931789,3,0.08441558441558442
32,navy30vet,1226646093087285249,awinston,16213116,3,0.08441558441558442
33,antknowsmaui,1021034203134038017,FoxNews,1367531,3,0.08441558441558442
34,djblackzitoun,1166582221039386626,JohnLukeNYC,1108807484,3,0.07792207792207792
35,henryogoti,327327145,HomeboyzRadio,37161598,3,0.07792207792207792
36,navy30vet,1226646093087285249,emma_a_whitford,829760984,3,0.07792207792207792
37,cute_ares,1113897481,TwitterSupport,17874544,3,0.07142857142857142
38,djblackzitoun,1166582221039386626,Bella_Ely_,944614598388396033,3,0.07142857142857142
39,navy30vet,1226646093087285249,KlasfeldReports,60506242,3,0.07142857142857142
