source,target,weights,community
patricklillis2,MayorofLondon,0.2987012987012987,community_5
patricklillis2,BBCNews,0.01948051948051948,community_5
patricklillis2,AOC,0.006493506493506494,community_5
patricklillis2,itvlondon,0.006493506493506494,community_5
patricklillis2,SadiqKhan,0.006493506493506494,community_5
patricklillis2,ald1960,0.006493506493506494,community_5
patricklillis2,nadhimzahawi,0.006493506493506494,community_5
patricklillis2,NHSEngland,0.006493506493506494,community_5
patricklillis2,RWiSblog,0.006493506493506494,community_5
cnkamngo,pabiedu1,0.2922077922077922,community_3
cnkamngo,LindaT_G,0.2922077922077922,community_3
cnkamngo,ABlinken,0.2532467532467532,community_3
cnkamngo,JoeBiden,0.23376623376623376,community_3
cnkamngo,KamalaHarris,0.2077922077922078,community_3
cnkamngo,antonioguterres,0.18181818181818185,community_3
cnkamngo,vicky_824,0.13636363636363635,community_3
cnkamngo,PR_Paul_BIYA,0.12337662337662338,community_3
cnkamngo,AsstSecStateAF,0.11688311688311688,community_3
cnkamngo,ChrisCoons,0.11038961038961036,community_3
cnkamngo,hrw,0.1038961038961039,community_3
cnkamngo,SenatorRisch,0.0974025974025974,community_3
cnkamngo,EmilyThornberry,0.08441558441558443,community_3
cnkamngo,PaulKagame,0.045454545454545456,community_3
cnkamngo,HouseForeign,0.045454545454545456,community_3
cnkamngo,FIFAcom,0.045454545454545456,community_3
cnkamngo,MagufuliJP,0.045454545454545456,community_3
cnkamngo,Pontifex,0.045454545454545456,community_3
cnkamngo,SenMarkey,0.045454545454545456,community_3
cnkamngo,marcorubio,0.045454545454545456,community_3
cnkamngo,hagegeingob,0.045454545454545456,community_3
cnkamngo,VOANews,0.045454545454545456,community_3
cnkamngo,UNHumanRights,0.045454545454545456,community_3
cnkamngo,SenatorCardin,0.045454545454545456,community_3
cnkamngo,SenToddYoung,0.045454545454545456,community_3
cnkamngo,Prof_AlphaConde,0.045454545454545456,community_3
cnkamngo,FEGnassingbe,0.045454545454545456,community_3
cnkamngo,AlJazeera,0.045454545454545456,community_3
cnkamngo,ChrisVanHollen,0.045454545454545456,community_3
cnkamngo,EdgarCLungu,0.045454545454545456,community_3
cnkamngo,SenateForeign,0.03896103896103896,community_3
cnkamngo,CAF_Online,0.032467532467532464,community_3
cnkamngo,BBC,0.032467532467532464,community_3
cnkamngo,SenatorLankford,0.032467532467532464,community_3
cnkamngo,POTUS,0.032467532467532464,community_3
cnkamngo,UN,0.025974025974025976,community_3
cnkamngo,EstoniaUN,0.025974025974025976,community_3
cnkamngo,EmmanuelMacron,0.01948051948051948,community_3
cnkamngo,BarackObama,0.01948051948051948,community_3
cnkamngo,VaticanNews,0.01948051948051948,community_3
cnkamngo,SenatorBaldwin,0.01948051948051948,community_3
cnkamngo,cnnbrk,0.01948051948051948,community_3
cnkamngo,Sebastien_Nadot,0.01948051948051948,community_3
cnkamngo,MexOnu,0.01948051948051948,community_3
cnkamngo,NRC_Egeland,0.01948051948051948,community_3
cnkamngo,NzajeP,0.01948051948051948,community_3
cnkamngo,PmTunisia,0.012987012987012988,community_3
cnkamngo,RepKarenBass,0.012987012987012988,community_3
cnkamngo,SVG_UN,0.012987012987012988,community_3
cnkamngo,NorwayUN,0.012987012987012988,community_3
cnkamngo,StateDept,0.012987012987012988,community_3
cnkamngo,UKUN_NewYork,0.012987012987012988,community_3
cnkamngo,SenTedCruz,0.012987012987012988,community_3
cnkamngo,KenyaMissionUN,0.012987012987012988,community_3
cnkamngo,IntlCrimCourt,0.012987012987012988,community_3
cnkamngo,IndiaUNNewYork,0.012987012987012988,community_3
cnkamngo,unGa,0.012987012987012988,community_3
cnkamngo,timkaine,0.012987012987012988,community_3
cnkamngo,USAmbUN,0.012987012987012988,community_3
cnkamngo,irishmissionun,0.012987012987012988,community_3
cnkamngo,MarkWarner,0.006493506493506494,community_3
